breading_pair,breading_results,breading_pair_color,breading_results_color,probability
"['rr-YY-Ss', 'rr-Yy-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'Yellow']","['Yellow', 'Yellow (seed)', 'Yellow', 'White', 'Yellow', 'Yellow']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['rr-YY-Ss', 'rr-Yy-ss']","['rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'Yellow']","['Yellow (seed)', 'Yellow', 'Yellow', 'Yellow']","['25%', '25%', '25%', '25%']"
"['rr-YY-Ss', 'rr-yy-SS']",['rr-Yy-SS'],"['Yellow (seed)', 'White']",['White'],['100%']
"['rr-YY-Ss', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'White (seed)']","['White', 'Yellow', 'Yellow']","['33%', '33%', '33%']"
"['rr-YY-Ss', 'rr-yy-ss']","['rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'White']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-YY-ss', 'rr-YY-ss']",['rr-YY-ss'],"['Yellow', 'Yellow']",['Yellow'],['100%']
"['rr-YY-ss', 'rr-Yy-Ss']","['rr-YY-ss', 'rr-Yy-ss']","['Yellow', 'Yellow']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-YY-ss', 'rr-Yy-ss']","['rr-YY-ss', 'rr-Yy-ss']","['Yellow', 'Yellow']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-YY-ss', 'rr-yy-Ss']",['rr-Yy-ss'],"['Yellow', 'White (seed)']",['Yellow'],['100%']
"['rr-YY-ss', 'rr-yy-ss']",['rr-Yy-ss'],"['Yellow', 'White']",['Yellow'],['100%']
"['rr-Yy-SS', 'rr-Yy-SS']","['rr-YY-SS', 'rr-Yy-SS', 'rr-yy-SS']","['White', 'White']","['Yellow', 'White', 'White']","['33%', '33%', '33%']"
"['rr-Yy-SS', 'rr-Yy-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-yy-SS', 'rr-yy-Ss']","['White', 'Yellow']","['Yellow', 'Yellow (seed)', 'White', 'Yellow', 'White', 'White (seed)']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['rr-Yy-SS', 'rr-Yy-ss']","['rr-YY-Ss', 'rr-Yy-Ss', 'rr-yy-Ss']","['White', 'Yellow']","['Yellow (seed)', 'Yellow', 'White (seed)']","['33%', '33%', '33%']"
"['rr-Yy-SS', 'rr-yy-SS']","['rr-Yy-SS', 'rr-yy-SS']","['White', 'White']","['White', 'White']","['50%', '50%']"
"['rr-Yy-SS', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss', 'rr-yy-SS', 'rr-yy-Ss']","['White', 'White (seed)']","['White', 'Yellow', 'White', 'White (seed)']","['25%', '25%', '25%', '25%']"
"['rr-Yy-SS', 'rr-yy-ss']","['rr-Yy-Ss', 'rr-yy-Ss']","['White', 'White']","['Yellow', 'White (seed)']","['50%', '50%']"
"['rr-Yy-Ss', 'rr-Yy-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['Yellow', 'Yellow']","['Yellow', 'Yellow (seed)', 'Yellow', 'White', 'Yellow', 'Yellow', 'White', 'White (seed)', 'White']","['11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%']"
"['rr-Yy-Ss', 'rr-Yy-ss']","['rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-Ss', 'rr-yy-ss']","['Yellow', 'Yellow']","['Yellow (seed)', 'Yellow', 'Yellow', 'Yellow', 'White (seed)', 'White']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['rr-Yy-Ss', 'rr-yy-SS']","['rr-Yy-SS', 'rr-yy-SS']","['Yellow', 'White']","['White', 'White']","['50%', '50%']"
"['rr-Yy-Ss', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['Yellow', 'White (seed)']","['White', 'Yellow', 'Yellow', 'White', 'White (seed)', 'White']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['rr-Yy-Ss', 'rr-yy-ss']","['rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-Ss', 'rr-yy-ss']","['Yellow', 'White']","['Yellow', 'Yellow', 'White (seed)', 'White']","['25%', '25%', '25%', '25%']"
"['rr-Yy-ss', 'rr-Yy-ss']","['rr-YY-ss', 'rr-Yy-ss', 'rr-yy-ss']","['Yellow', 'Yellow']","['Yellow', 'Yellow', 'White']","['33%', '33%', '33%']"
"['rr-Yy-ss', 'rr-yy-Ss']","['rr-Yy-ss', 'rr-yy-ss']","['Yellow', 'White (seed)']","['Yellow', 'White']","['50%', '50%']"
"['rr-Yy-ss', 'rr-yy-ss']","['rr-Yy-ss', 'rr-yy-ss']","['Yellow', 'White']","['Yellow', 'White']","['50%', '50%']"
"['rr-yy-SS', 'rr-yy-SS']",['rr-yy-SS'],"['White', 'White']",['White'],['100%']
"['rr-yy-SS', 'rr-yy-Ss']","['rr-yy-SS', 'rr-yy-Ss']","['White', 'White (seed)']","['White', 'White (seed)']","['50%', '50%']"
"['rr-yy-SS', 'rr-yy-ss']",['rr-yy-Ss'],"['White', 'White']",['White (seed)'],['100%']
"['rr-yy-Ss', 'rr-yy-ss']","['rr-yy-Ss', 'rr-yy-ss']","['White (seed)', 'White']","['White (seed)', 'White']","['50%', '50%']"
"['rr-yy-ss', 'rr-yy-ss']",['rr-yy-ss'],"['White', 'White']",['White'],['100%']
